link,text,user,date,is_retweet,comments,retweets,quotes,likes,images,video,gifs,topic
https://twitter.com/BSUBroncoAlm/status/1561142952939835392#m,Apocalyptic to see fire planes at redfish. Had seen the lightning ⚡️ on Friday and the flames when trying to go to sunbeam hot springs #mormonbendfire #forestfire #idwx,Go Avs Go!,"Aug 21, 2022 · 12:07 AM UTC",False,0,1,1,27,,https://video.twimg.com/ext_tw_video/1561142748274573313/pu/vid/720x1280/NnkwegQ3q9x4COc8.mp4?tag=12,,#forestfire
https://twitter.com/Mindyponti/status/1560421855802146816#m,Good night @summerhousenc  The benefit of having a #forestfire near you is prettier sunsets #sunset #lovewhereyoulive @ Summerhouse On Everett Bay https://www.instagram.com/p/Cha7kDKLPMO/?igshid=YTgzYjQ4ZTY=,Mindy Ponti,"Aug 19, 2022 · 12:22 AM UTC",False,0,0,0,0,,,,#forestfire
https://twitter.com/jeynajade/status/1554299821803986944#m,It's already so much thicker.... 😩 #Kamloops #firewatch #Forestfire,ExplorerJP,"Aug 2, 2022 · 2:55 AM UTC",False,1,3,1,16,https://pbs.twimg.com/media/FZH7bfwX0AMyd08.jpg,,,#forestfire
https://twitter.com/jeynajade/status/1554297457437069313#m,@Kamscan this is growing quickly 😰 #Kamloops #Forestfire,ExplorerJP,"Aug 2, 2022 · 2:46 AM UTC",False,3,5,0,18,https://pbs.twimg.com/media/FZH5S9xXwAQF4mQ.jpg,,,#forestfire
https://twitter.com/thomcat23tweets/status/1552634104163729416#m,God of Modern War #economy #environment #weapons #cloud #waterfall #forest #forestfire #artistinresidence #cherrystreetpier @ Cherry Street Pier https://www.instagram.com/p/CgjmGiAuAAW/?igshid=YTgzYjQ4ZTY=,Thomcat23,"Jul 28, 2022 · 12:36 PM UTC",False,0,0,0,1,,,,#forestfire
https://twitter.com/barblynch317/status/1550964746274357250#m,"Beautiful cloud formations??! No a huge fire 🔥 The things  one sees on I-95! Seems to be wooded area…hope it gets contained!! #ohmyword #forestfire #ordinaryday #saywhat @ Palm Bay, Florida https://www.instagram.com/p/CgXu-BnvaDG/?igshid=YTgzYjQ4ZTY=",Barb Lynch,"Jul 23, 2022 · 10:03 PM UTC",False,0,0,0,0,,,,#forestfire
https://twitter.com/drewfus919/status/1541977726843854849#m,I had R&R in Denver after 3 weeks on a #forestfire deployment. In the back of my truck was bag of dirty laundry. Didn’t think much till I did laundry. Someone made off with 7 pair of #worn @ethika boxers and 2 pair of @DarnTough socks. #gross and why only the #expensive stuff!,drewfus debock,"Jun 29, 2022 · 2:51 AM UTC",False,0,0,0,0,,,,#forestfire
https://twitter.com/JBaldischwiler/status/1536915759334428673#m,hiking amid a  #forestfire 👀,Jessica Baldischwiler,"Jun 15, 2022 · 3:37 AM UTC",False,0,0,0,1,https://pbs.twimg.com/media/FVQ4unvUYAAzlOO.jpg,,,#forestfire
https://twitter.com/2Trash_Panda2/status/1529787821250293760#m,"How do I become tree, tree doesn't have to school, tree simple life. #forestfire",Toast (Pierce),"May 26, 2022 · 11:33 AM UTC",False,0,0,0,2,,,,#forestfire
https://twitter.com/mcclellandjohn/status/1525496552730632193#m,"05/12 North Bay 3 Fire in Chisholm Township near Powassan. Canadair CL-415 Superscooper to the rescue. > > #northbay #forestfire #powassan #Chisholm #waterbomber @ Chisholm, Ontario https://www.instagram.com/p/CdixX7XuHLa/?igshid=YTgzYjQ4ZTY=",John,"May 14, 2022 · 3:21 PM UTC",False,0,0,0,0,,,,#forestfire
https://twitter.com/TNExtremeWX/status/1508222145146540034#m,Sorry for the glare. Not alot of good shots available. Small #wildfire in Washington co. Near Carter county and Unicoi Co. Lines. Buffalo Mountain. #tnwx #forestfire #Appalachianmountains,Aaron Adams🌪️,"Mar 27, 2022 · 11:19 PM UTC",False,0,0,0,0,https://pbs.twimg.com/media/FO5IBk6XEAYW8ps.jpg,,,#forestfire
